Khosla Associates,Bengaluru,Karnataka,India,Boutique,Mid,Residential,Design-Led,No,Yes,https://www.khoslaassociates.com,info@khoslaassociates.com,Email,Concept project + Sectional quality
Biome Environmental Solutions,Bengaluru,Karnataka,India,Sustainable,Mid,Residential/Sustainable,Environmental,No,Yes,https://www.biome-solutions.com,info@biome-solutions.com,Email,Climate diagrams + Passive strategies
Ashok B Lall Architects,New Delhi,Delhi,India,Sustainable,Mid,Institutional/Sustainable,Environmental,Partial,Yes,Not Public,info@ablarchitects.com,Email,Sustainability narrative + Site analysis
HCP Design Planning and Management,Ahmedabad,Gujarat,India,Urban,Large,Urban/Institutional,Urban+Technical,Yes,Yes,https://www.hcp.co.in,info@hcp.co.in,Careers Page,Urban scale masterplan + Institutional project
Studio Saransh,Ahmedabad,Gujarat,India,Boutique,Small,Institutional/Residential,Detail-Driven,No,Yes,Not Public,info@studiosaransh.com,Email,Section depth + Detail sheets
CCBA Designs,Pune,Maharashtra,India,Corporate,Mid,Institutional/Residential,Balanced,Partial,Yes,Not Public,info@ccbadesigns.com,Email,Institutional drawings + Clean layout
SE-ARCH,Pune,Maharashtra,India,Corporate,Mid,Residential/Commercial,Technical,Partial,Yes,Not Public,info@searchitects.com,Email,Technical sheets + Construction logic
CnT Architects,New Delhi,Delhi,India,Corporate,Large,Institutional/Commercial,Technical,Yes,Yes,https://www.cnt.co.in,info@cnt.co.in,Careers Page,Institutional project + BIM workflow
Studio Mumbai,Mumbai,Maharashtra,India,Boutique,Mid,Residential/Craft,Craft+Material,No,Selective,Not Public,info@studiomumbai.com,Email,Material process + Physical models
Edifice Consultants,Mumbai,Maharashtra,India,Corporate,Large,Commercial/Institutional,Technical,Yes,Yes,https://www.edifice.co.in,careers@edifice.co.in,Careers Page,Corporate campus + Technical clarity
DSP Design Associates,Mumbai,Maharashtra,India,Corporate,Large,Commercial/Interior,Technical,Yes,Yes,https://www.dspdesignassociates.com,info@dspdesignassociates.com,Careers Page,Corporate interiors + Documentation
SJK Architects,Mumbai,Maharashtra,India,Boutique,Mid,Institutional/Residential,Conceptual,Partial,Yes,https://www.sjkarchitects.com,info@sjkarchitects.com,Email,Concept-driven institutional project
RMA Architects,New Delhi,Delhi,India,Boutique,Mid,Institutional/Urban,Contextual,No,Yes,Not Public,info@rmaarchitects.com,Email,Urban + contextual design sheets
Mathew & Ghosh Architects,Bengaluru,Karnataka,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@mathewghosh.com,Email,Spatial quality + Section refinement
Anagram Architects,New Delhi,Delhi,India,Boutique,Mid,Institutional/Residential,Conceptual,Partial,Yes,https://www.anagramarchitects.com,info@anagramarchitects.com,Email,Concept diagrams + Section depth
Mozaic Architects,Ahmedabad,Gujarat,India,Boutique,Small,Residential/Commercial,Design-Led,No,Yes,Not Public,info@mozaicarchitects.com,Email,Form exploration + Residential clarity
Design Workshop,Pune,Maharashtra,India,Interior,Mid,Interior/Residential,Interior-Focused,No,Yes,Not Public,info@designworkshop.in,Email,Interior detailing + Material boards
Talati & Partners,Mumbai,Maharashtra,India,Corporate,Large,High-rise/Commercial,Technical,Yes,Yes,https://www.talatipartners.com,info@talatipartners.com,Careers Page,High-rise project + Structural clarity
Kapadia Associates,New Delhi,Delhi,India,Corporate,Large,Infrastructure/Commercial,Technical,Yes,Yes,Not Public,info@kapadiaassociates.com,Email,Infrastructure sheets + Technical documentation
Firm Name,City,State,Country,Category,Scale,Primary Typology,Design Orientation,BIM Usage,Internship Offered,Website,Contact Email,Application Method,Portfolio Emphasis Strategy
Chaukor Studio,Pune,Maharashtra,India,Boutique,Mid,Residential/Commercial,Concept-Driven,Partial,Yes,https://www.chaukorstudio.com,info@chaukorstudio.com,Email,Concept narrative + Section quality + Residential clarity
Hundredhands,Bengaluru,Karnataka,India,Boutique,Mid,Institutional/Residential,Contextual,No,Yes,https://www.hundredhands.com,info@hundredhands.com,Email,Context diagrams + Institutional project + Clean layout
The Purple Ink Studio,Bengaluru,Karnataka,India,Boutique,Mid,Educational/Institutional,Conceptual,Partial,Yes,https://www.purpleinkstudio.in,info@purpleinkstudio.in,Email,Institutional project first + Concept diagrams
Design Ni Dukaan,New Delhi,Delhi,India,Boutique,Small,Residential/Interiors,Interior-Focused,No,Yes,Not Public,info@designnidukaan.com,Email,Interior project first + Material boards
Renesa Architecture Design Interiors,Gurugram,Haryana,India,Boutique,Mid,Residential/Hospitality,Concept-Driven,Partial,Yes,https://www.renesa.in,info@renesa.in,Email,Form development diagrams + Render control
Open Atelier Mumbai,Mumbai,Maharashtra,India,Boutique,Small,Residential/Urban,Research+Contextual,No,Selective,Not Public,info@openatelier.in,Email,Urban mapping + Section refinement
INFORM Architects,Ahmedabad,Gujarat,India,Boutique,Mid,Residential/Institutional,Design-Led,No,Yes,Not Public,info@informarchitects.com,Email,Residential project clarity + Clean documentation
Vastu Shilpa Consultants,Ahmedabad,Gujarat,India,Urban,Large,Urban/Institutional,Urban+Environmental,Partial,Yes,Not Public,info@vastushilpa.com,Email,Urban masterplan + Climate logic diagrams
SDA Architects,Chennai,Tamil Nadu,India,Corporate,Large,Commercial/Institutional,Technical,Yes,Yes,https://www.sdaarchitects.com,careers@sdaarchitects.com,Careers Page,Commercial campus + BIM workflow
DPA Architects,New Delhi,Delhi,India,Corporate,Large,Infrastructure/Institutional,Technical,Yes,Yes,https://www.dpaarchitects.com,info@dpaarchitects.com,Careers Page,Infrastructure scale project + Technical sheets
Creative Group LLP,Noida,Uttar Pradesh,India,Corporate,Large,Infrastructure/Transport,Technical,Yes,Yes,https://www.creativegroupllp.com,careers@creativegroupllp.com,Careers Page,Transit project + Structured documentation
Karan Grover & Associates,Vadodara,Gujarat,India,Sustainable,Mid,Institutional/Corporate,Environmental,Partial,Yes,https://www.kgagroup.com,info@kgagroup.com,Email,Sustainability narrative + Institutional project
RSP Design Consultants,Bengaluru,Karnataka,India,Corporate,International,Commercial/IT Parks,Technical,Yes,Yes,https://www.rsp.design,careers@rsp.design,Careers Page,IT park project + BIM detailing
Sthapati Associates,New Delhi,Delhi,India,Corporate,Large,Government/Institutional,Technical,Yes,Yes,https://www.sthapati.com,info@sthapati.com,Careers Page,Public building + Technical documentation
IMK Architects,Mumbai,Maharashtra,India,Corporate,Large,Infrastructure/Residential,Technical,Yes,Yes,https://www.imkarchitects.com,info@imkarchitects.com,Careers Page,Infrastructure sheets + Structured layout
Venkataramanan Associates,Bengaluru,Karnataka,India,Corporate,Large,Institutional/Healthcare,Technical,Yes,Yes,https://www.venkataramanan.com,careers@venkataramanan.com,Careers Page,Healthcare project + BIM clarity
Mind Manifestation Design,Mumbai,Maharashtra,India,Boutique,Small,Residential/Commercial,Concept-Driven,No,Yes,Not Public,info@mindmanifestation.in,Email,Concept diagrams + Section depth
Planet 3 Studios,Mumbai,Maharashtra,India,Boutique,Small,Residential/Interior,Interior-Focused,No,Yes,Not Public,info@planet3studios.com,Email,Interior detailing + Render balance
M:OFA Studios,Pune,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@mofa.in,Email,Residential clarity + Section refinement
SJK Architects (Ahmedabad Studio),Ahmedabad,Gujarat,India,Boutique,Mid,Institutional,Conceptual,Partial,Yes,https://www.sjkarchitects.com,info@sjkarchitects.com,Email,Institutional concept project + Section drama
Studio Ardete,Chandigarh,Chandigarh,India,Boutique,Mid,Residential/Commercial,Concept-Driven,Partial,Yes,https://www.studioardete.com,info@studioardete.com,Email,Form evolution diagrams + Spatial clarity
Charged Voids,Bengaluru,Karnataka,India,Boutique,Mid,Institutional/Residential,Conceptual,Partial,Yes,https://www.chargedvoids.com,info@chargedvoids.com,Email,Concept-rich project + Sectional quality
Architecture Discipline,Mumbai,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Selective,Not Public,info@architecturediscipline.com,Email,Spatial sequence + Detail precision
Ravi Khandelwal Architects,Mumbai,Maharashtra,India,Boutique,Small,Residential/Craft,Craft-Oriented,No,Selective,Not Public,info@rkarchitects.com,Email,Material logic + Craft detailing
Studio PKA,Hyderabad,Telangana,India,Boutique,Mid,Residential/Commercial,Concept-Driven,Partial,Yes,Not Public,info@studiopka.com,Email,Concept diagrams + Residential clarity
Architecture Paradigm,Bengaluru,Karnataka,India,Corporate,Large,Commercial/IT,Technical,Yes,Yes,https://www.architectureparadigm.com,careers@architectureparadigm.com,Careers Page,Commercial complex + BIM workflow
Tropic Responses,Mumbai,Maharashtra,India,Sustainable,Small,Residential,Environmental,No,Yes,Not Public,info@tropicresponses.com,Email,Climate diagrams + Passive design sheets
Space Matrix,Bengaluru,Karnataka,India,Interior,International,Workplace/Corporate Interiors,Interior-Focused,Yes,Yes,https://www.spacematrix.com,careers@spacematrix.com,Careers Page,Corporate interior project + Detailing
Edifice Consultants (Bengaluru),Bengaluru,Karnataka,India,Corporate,Large,Commercial/Institutional,Technical,Yes,Yes,https://www.edifice.co.in,careers@edifice.co.in,Careers Page,Institutional campus + Documentation clarity
Collage Architecture Studio,Mumbai,Maharashtra,India,Boutique,Small,Residential/Urban,Research-Driven,No,Yes,Not Public,info@collagearchitecture.com,Email,Urban research sheet + Section logic
Firm Name,City,State,Country,Category,Scale,Primary Typology,Design Orientation,BIM Usage,Internship Offered,Website,Contact Email,Application Method,Portfolio Emphasis Strategy
KPF India (Kohn Pedersen Fox),Mumbai,Maharashtra,India,Corporate,International,High-rise/Mixed-use,Technical,Yes,Yes,https://www.kpf.com,careers@kpf.com,Careers Page,High-rise tower project + BIM sheets + Structured documentation
Perkins Eastman (India),Mumbai,Maharashtra,India,Corporate,International,Healthcare/Institutional,Technical,Yes,Yes,https://www.perkinseastman.com,careers@perkinseastman.com,Careers Page,Healthcare project + Technical detailing + BIM workflow
Broadway Malyan (India),Mumbai,Maharashtra,India,Corporate,International,Commercial/Masterplanning,Technical,Yes,Yes,https://www.broadwaymalyan.com,info@broadwaymalyan.com,Careers Page,Commercial complex + Masterplan sheet + Documentation clarity
Hafeez Contractor,Mumbai,Maharashtra,India,Corporate,Large,High-rise/Residential,Technical,Yes,Yes,https://www.hafeezcontractor.com,info@hafeezcontractor.com,Email,High-rise residential project + Structural clarity
SSA Architects,Mumbai,Maharashtra,India,Corporate,Large,Residential/Commercial,Technical,Yes,Yes,https://www.ssarchitects.com,info@ssarchitects.com,Careers Page,Residential tower project + Working drawings
Architect Hafeez Contractor (AHC Studio),Mumbai,Maharashtra,India,Corporate,Large,Mixed-use/High-rise,Technical,Yes,Yes,https://www.hafeezcontractor.com,careers@hafeezcontractor.com,Careers Page,Tower complex + BIM documentation
Kembhavi Architecture Foundation,Bengaluru,Karnataka,India,Boutique,Small,Institutional/Research,Research-Driven,No,Selective,Not Public,info@kafindia.org,Email,Research narrative + Urban institutional sheets
Mistry Architects,Mumbai,Maharashtra,India,Boutique,Mid,Institutional/Residential,Contextual,Partial,Yes,https://www.mistryarchitects.com,info@mistryarchitects.com,Email,Institutional project + Section depth + Context diagrams
Sandeep Shikre & Associates,Mumbai,Maharashtra,India,Corporate,Large,Infrastructure/Commercial,Technical,Yes,Yes,https://www.ssagroupindia.com,careers@ssagroupindia.com,Careers Page,Infrastructure sheets + Structured layout
Salient Design Studio,Ahmedabad,Gujarat,India,Boutique,Small,Residential/Commercial,Conceptual,No,Yes,Not Public,info@salientdesignstudio.com,Email,Residential concept clarity + Section refinement
Studio Yamini,Chennai,Tamil Nadu,India,Interior,Mid,Interior/Residential,Interior-Focused,No,Yes,Not Public,info@studioyamini.com,Email,Interior spatial project + Detail boards
Prashant Parmar Architect (PPA),Ahmedabad,Gujarat,India,Boutique,Mid,Residential,Design-Led,No,Yes,https://www.prashantparmar.com,info@prashantparmar.com,Email,Residential form exploration + Clean documentation
AKDA (Ashok Kapur Design Associates),New Delhi,Delhi,India,Corporate,Large,Residential/Commercial,Technical,Yes,Yes,https://www.akda.in,careers@akda.in,Careers Page,Residential complex + BIM workflow
Nudes Architecture,New Delhi,Delhi,India,Boutique,Mid,Residential/Urban,Research+Concept,Partial,Yes,https://www.nudes.in,info@nudes.in,Email,Urban housing project + Concept diagrams
Studio Symbiosis,Pune,Maharashtra,India,Boutique,Mid,Institutional/Residential,Conceptual,Partial,Yes,https://www.studiosymbiosis.com,info@studiosymbiosis.com,Email,Institutional concept project + Environmental response
Pentagram Architects,Noida,Uttar Pradesh,India,Corporate,Large,Commercial/Institutional,Technical,Yes,Yes,https://www.pentagramarchitects.com,careers@pentagramarchitects.com,Careers Page,Commercial campus + Technical documentation
Canna Patel (HCP Interiors),Ahmedabad,Gujarat,India,Interior,Mid,Interior/Institutional,Interior-Focused,No,Yes,Not Public,info@hcp.co.in,Email,Interior detailing + Material articulation
Studio Matter,Panjim,Goa,India,Boutique,Small,Residential/Hospitality,Craft-Oriented,No,Selective,Not Public,info@studiomatter.in,Email,Material logic + Craft documentation
Kothari & Associates,New Delhi,Delhi,India,Corporate,Large,Institutional/Commercial,Technical,Yes,Yes,https://www.kothariassociates.com,info@kothariassociates.com,Careers Page,Institutional project + Structured sheets
SJK Architects (Mumbai Studio),Mumbai,Maharashtra,India,Boutique,Mid,Institutional/Residential,Conceptual,Partial,Yes,https://www.sjkarchitects.com,info@sjkarchitects.com,Email,Concept diagrams + Section drama
MoFA Studios (Mumbai),Mumbai,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@mofa.in,Email,Residential clarity + Section depth
Neogenesis+Studi0261,Surat,Gujarat,India,Boutique,Mid,Residential/Institutional,Conceptual,Partial,Yes,https://www.neogenesisplus.in,info@neogenesisplus.in,Email,Institutional concept + Form exploration
Archohm Consults,Noida,Uttar Pradesh,India,Corporate,Large,Institutional/Infrastructure,Technical,Yes,Yes,https://www.archohm.com,careers@archohm.com,Careers Page,Infrastructure project + BIM detailing
Studio 3,Pune,Maharashtra,India,Boutique,Small,Residential/Interior,Interior-Focused,No,Yes,Not Public,info@studio3pune.com,Email,Interior project first + Detail drawings
FHD Group (Future Habitat Designers),New Delhi,Delhi,India,Corporate,Large,Infrastructure/Commercial,Technical,Yes,Yes,https://www.fhdgroup.in,careers@fhdgroup.in,Careers Page,Commercial complex + Structured documentation
R+H Architecture,Chennai,Tamil Nadu,India,Boutique,Small,Residential/Urban,Research-Driven,No,Selective,Not Public,info@rharchitecture.in,Email,Urban housing + Section refinement
Architecture Discipline (Delhi Studio),New Delhi,Delhi,India,Boutique,Small,Residential,Design-Led,No,Selective,Not Public,info@architecturediscipline.com,Email,Spatial narrative + Detail precision
SJK Architects (Bengaluru Studio),Bengaluru,Karnataka,India,Boutique,Mid,Institutional,Conceptual,Partial,Yes,https://www.sjkarchitects.com,info@sjkarchitects.com,Email,Institutional concept project + Section clarity
Venkateshwar & Associates,Hyderabad,Telangana,India,Corporate,Mid,Commercial/Residential,Technical,Yes,Yes,Not Public,info@venkateshwarassociates.com,Email,Commercial complex + Documentation clarity
Design Forum International,New Delhi,Delhi,India,Corporate,Large,Mixed-use/Institutional,Technical,Yes,Yes,https://www.designforuminternational.com,careers@designforuminternational.com,Careers Page,Mixed-use campus + BIM sheets
Firm Name,City,State,Country,Category,Scale,Primary Typology,Design Orientation,BIM Usage,Internship Offered,Website,Contact Email,Application Method,Portfolio Emphasis Strategy
Christopher Charles Benninger Architects,Pune,Maharashtra,India,Corporate,Large,Institutional/Urban,Technical+Urban,Yes,Yes,https://www.ccba.in,info@ccba.in,Email,Institutional campus + Urban masterplan + Structured documentation
ZED Lab (Zero Energy Design Lab),New Delhi,Delhi,India,Sustainable,Small,Residential/Sustainable,Environmental,Partial,Yes,https://www.zedlab.in,info@zedlab.in,Email,Climate-responsive project + Environmental diagrams + Passive strategies
Group DCA,Mumbai,Maharashtra,India,Corporate,Large,Infrastructure/Commercial,Technical,Yes,Yes,https://www.groupdca.in,careers@groupdca.in,Careers Page,Infrastructure sheets + BIM workflow + Documentation clarity
Shashi Prabhu & Associates,Mumbai,Maharashtra,India,Corporate,Large,Institutional/Residential,Technical,Yes,Yes,https://www.spaplanning.com,info@spaplanning.com,Email,Institutional complex + Working drawings + Structured layout
SABO (Sameep Padora & Associates - Research Wing),Mumbai,Maharashtra,India,Boutique,Small,Cultural/Research,Research-Driven,No,Selective,https://www.sp-arc.net,info@sp-arc.net,Email,Material research sheets + Structural logic sections
Studio Context Architects,Pune,Maharashtra,India,Boutique,Small,Residential/Commercial,Design-Led,No,Yes,Not Public,info@studiocontext.in,Email,Residential clarity + Section refinement
ADND (Amit Design & New Dimensions),New Delhi,Delhi,India,Corporate,Mid,Commercial/Residential,Technical,Yes,Yes,Not Public,info@adnd.in,Email,Commercial complex + Documentation discipline
Studio Wood,Bengaluru,Karnataka,India,Boutique,Small,Residential/Craft,Craft-Oriented,No,Selective,Not Public,info@studiowood.in,Email,Material logic + Detail precision + Physical models
S+PS Architects,New Delhi,Delhi,India,Corporate,Large,Institutional/Infrastructure,Technical,Yes,Yes,https://www.spsarchitects.com,careers@spsarchitects.com,Careers Page,Public infrastructure + BIM sheets + Structured layout
Aakar Design Consultants,Ahmedabad,Gujarat,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@aakardesign.com,Email,Residential form development + Clean documentation
VBT Consortium (Venkataramanan Associates - Chennai Wing),Chennai,Tamil Nadu,India,Corporate,Large,Healthcare/Institutional,Technical,Yes,Yes,https://www.venkataramanan.com,careers@venkataramanan.com,Careers Page,Healthcare project + Technical detailing + BIM workflow
SJK Architects (Delhi Studio),New Delhi,Delhi,India,Boutique,Mid,Institutional/Residential,Conceptual,Partial,Yes,https://www.sjkarchitects.com,info@sjkarchitects.com,Email,Institutional concept project + Section clarity
Studio DRA (Design Research Architecture),Mumbai,Maharashtra,India,Boutique,Small,Urban/Research,Research-Driven,No,Selective,Not Public,info@studiodra.com,Email,Urban mapping + Analytical diagrams + Section refinement
AUM Architects,Chennai,Tamil Nadu,India,Boutique,Mid,Residential/Institutional,Concept-Driven,Partial,Yes,Not Public,info@aumarchitects.in,Email,Institutional project + Concept diagrams
RSP Design Consultants (Chennai),Chennai,Tamil Nadu,India,Corporate,International,Commercial/IT Parks,Technical,Yes,Yes,https://www.rsp.design,careers@rsp.design,Careers Page,IT campus + BIM detailing + Structured documentation
Nivasa (Sustainable Design Studio),Bengaluru,Karnataka,India,Sustainable,Small,Residential,Sustainable,No,Yes,Not Public,info@nivasa.in,Email,Climate analysis + Passive cooling strategies
Sthapati Associates (Hyderabad Wing),Hyderabad,Telangana,India,Corporate,Large,Government/Institutional,Technical,Yes,Yes,https://www.sthapati.com,careers@sthapati.com,Careers Page,Public building + Technical documentation + BIM sheets
BetweenSpaces,Bengaluru,Karnataka,India,Boutique,Mid,Residential,Design-Led,No,Yes,https://www.betweenspaces.co.in,info@betweenspaces.co.in,Email,Residential clarity + Section quality
Arun Nalapat Architects,Bengaluru,Karnataka,India,Boutique,Small,Residential/Institutional,Contextual,No,Yes,Not Public,info@arunnalapat.com,Email,Context diagrams + Section depth
Studio Earthbox,Pune,Maharashtra,India,Sustainable,Small,Residential/Institutional,Environmental,No,Yes,Not Public,info@studioearthbox.com,Email,Environmental diagrams + Passive strategies + Material logic
Rathi Associates,Jaipur,Rajasthan,India,Corporate,Mid,Institutional/Residential,Technical,Partial,Yes,Not Public,info@rathiassociates.com,Email,Institutional project + Working drawings
Design Atelier,Hyderabad,Telangana,India,Boutique,Small,Residential/Interior,Interior-Focused,No,Yes,Not Public,info@designatelier.in,Email,Interior detailing + Material boards
Suyash Designs,Mumbai,Maharashtra,India,Interior,Mid,Hospitality/Interior,Interior-Focused,No,Yes,Not Public,info@suyashdesigns.com,Email,Hospitality interior project + Detail sheets
Studio RAIN (Research in Architecture),Ahmedabad,Gujarat,India,Boutique,Small,Urban/Research,Research-Driven,No,Selective,Not Public,info@studiorain.in,Email,Urban mapping + Analytical diagrams
IMK Architects (Delhi Wing),New Delhi,Delhi,India,Corporate,Large,Infrastructure/Residential,Technical,Yes,Yes,https://www.imkarchitects.com,careers@imkarchitects.com,Careers Page,Infrastructure project + BIM workflow
Spacefiction Studio,Mumbai,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@spacefictionstudio.com,Email,Residential narrative + Section refinement
Archiopteryx Design Studio,Pune,Maharashtra,India,Boutique,Small,Residential/Urban,Conceptual,No,Yes,Not Public,info@archiopteryx.in,Email,Urban housing + Concept diagrams
Studio Inscape,New Delhi,Delhi,India,Interior,Mid,Interior/Commercial,Interior-Focused,No,Yes,Not Public,info@studioinscape.in,Email,Commercial interior project + Material articulation
CPBA Architects (C.P. Kukreja - Regional Wing),Ahmedabad,Gujarat,India,Corporate,Large,Institutional/Infrastructure,Technical,Yes,Yes,https://www.cpkukreja.com,careers@cpkukreja.com,Careers Page,Infrastructure sheets + Structured documentation
Studio Morphlab (Sustainable Research Unit),Bengaluru,Karnataka,India,Sustainable,Small,Research/Environmental,Sustainable,No,Selective,Not Public,info@morphlab.in,Email,Climate research diagrams + Environmental sheets
Firm Name,City,State,Country,Category,Scale,Primary Typology,Design Orientation,BIM Usage,Internship Offered,Website,Contact Email,Application Method,Portfolio Emphasis Strategy
Raj Rewal Associates,New Delhi,Delhi,India,Boutique,Large,Institutional/Urban,Contextual+Conceptual,Partial,Selective,https://www.rajrewal.com,info@rajrewal.com,Email,Institutional cultural project + Strong sections + Context diagrams
C.P. Kukreja Architects (Mumbai Studio),Mumbai,Maharashtra,India,Corporate,Large,Infrastructure/Institutional,Technical,Yes,Yes,https://www.cpkukreja.com,careers@cpkukreja.com,Careers Page,Campus-scale infrastructure + BIM documentation
Ashok B Lall Architects (ABL),New Delhi,Delhi,India,Sustainable,Mid,Institutional/Sustainable,Environmental,Partial,Yes,Not Public,info@ablarchitects.com,Email,Sustainability-first project + Climate diagrams + Technical detailing
Mandviwala Qutub & Associates,Mumbai,Maharashtra,India,Corporate,Large,Institutional/Residential,Technical,Yes,Yes,https://www.mqa.in,info@mqa.in,Email,Institutional complex + Structured working drawings
SJK Architects (Chennai Studio),Chennai,Tamil Nadu,India,Boutique,Mid,Institutional/Residential,Conceptual,Partial,Yes,https://www.sjkarchitects.com,info@sjkarchitects.com,Email,Institutional concept narrative + Section clarity
Vir Mueller Architects,New Delhi,Delhi,India,Boutique,Small,Residential/Urban,Research-Driven,No,Selective,Not Public,info@virmueller.com,Email,Urban housing + Analytical diagrams
MoFA Studios (Bengaluru),Bengaluru,Karnataka,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@mofa.in,Email,Residential spatial quality + Section refinement
Studio Mumbai (Goa Studio),Goa,Goa,India,Boutique,Mid,Residential/Craft,Craft-Oriented,No,Selective,Not Public,info@studiomumbai.com,Email,Material craft + Physical models + Process sheets
Kembhavi Architecture Foundation (Delhi Wing),New Delhi,Delhi,India,Boutique,Small,Institutional/Research,Research-Driven,No,Selective,Not Public,info@kafindia.org,Email,Research institutional project + Diagram clarity
JMA Mumbai (JMA Architects),Mumbai,Maharashtra,India,Corporate,Large,Commercial/High-rise,Technical,Yes,Yes,Not Public,info@jmarchitects.com,Email,Commercial tower + BIM detailing
Studio Context (Delhi Wing),New Delhi,Delhi,India,Boutique,Small,Residential/Commercial,Design-Led,No,Yes,Not Public,info@studiocontext.in,Email,Residential clarity + Clean documentation
IMK Architects (Mumbai Studio),Mumbai,Maharashtra,India,Corporate,Large,Infrastructure/Residential,Technical,Yes,Yes,https://www.imkarchitects.com,careers@imkarchitects.com,Careers Page,Infrastructure scale + Technical sheets + BIM workflow
Anand Sharma Architects,Ahmedabad,Gujarat,India,Boutique,Small,Residential,Concept-Driven,No,Yes,Not Public,info@anandsharmaarchitects.com,Email,Concept diagrams + Section depth
Studio Saransh (Ahmedabad Wing),Ahmedabad,Gujarat,India,Boutique,Small,Institutional/Residential,Detail-Driven,No,Yes,Not Public,info@studiosaransh.com,Email,Section precision + Detail articulation
Architecture BRIO (Goa Studio),Goa,Goa,India,Boutique,Mid,Residential/Interiors,Contextual+Environmental,Partial,Yes,https://www.architecturebrio.com,info@architecturebrio.com,Email,Climate response + Section logic
SDA Architects (Bengaluru Wing),Bengaluru,Karnataka,India,Corporate,Large,Commercial/Institutional,Technical,Yes,Yes,https://www.sdaarchitects.com,careers@sdaarchitects.com,Careers Page,Commercial campus + Documentation discipline
Open Atelier (Delhi Studio),New Delhi,Delhi,India,Boutique,Small,Urban/Residential,Research-Driven,No,Selective,Not Public,info@openatelier.in,Email,Urban mapping + Housing concept sheets
Sthapati Associates (Chennai Studio),Chennai,Tamil Nadu,India,Corporate,Large,Government/Institutional,Technical,Yes,Yes,https://www.sthapati.com,careers@sthapati.com,Careers Page,Public infrastructure + BIM documentation
BetweenSpaces (Hyderabad Wing),Hyderabad,Telangana,India,Boutique,Mid,Residential,Design-Led,No,Yes,https://www.betweenspaces.co.in,info@betweenspaces.co.in,Email,Residential clarity + Section emphasis
Charged Voids (Mumbai Studio),Mumbai,Maharashtra,India,Boutique,Mid,Institutional/Residential,Conceptual,Partial,Yes,https://www.chargedvoids.com,info@chargedvoids.com,Email,Concept-rich project + Sectional quality
